Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.047u","C_0603_HandSoldering",92.550000,-71.000000,180.000000,top
"C2","0.047u","C_0603_HandSoldering",96.100000,-74.300000,180.000000,top
"C3","0.047u","C_0603_HandSoldering",128.800000,-63.900000,0.000000,top
"C4","0.047u","C_0603_HandSoldering",128.500000,-74.000000,0.000000,top
"C5","0.047u","C_0603_HandSoldering",122.500000,-75.000000,0.000000,top
"C6","0.047u","C_0603_HandSoldering",114.400000,-53.600000,0.000000,top
"C7","0.047u","C_0603_HandSoldering",92.600000,-68.250000,180.000000,top
"C8","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",132.650000,-71.400000,0.000000,top
"C9","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",80.862500,-65.000000,180.000000,top
"C10","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",145.250000,-77.900000,180.000000,top
"C11","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",54.000000,-84.400000,180.000000,top
"C12","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",170.200000,-97.650000,90.000000,top
"D1","D_Schottky","D_SOD-523_large_pads",104.900000,-58.500000,180.000000,top
"D2","M7C","D_SOD-123F",82.400000,-93.500000,180.000000,top
"D3","M7C","D_SOD-123F",110.000000,-53.600000,180.000000,top
"Q1","SSM3K56FS,LF","SOT-23",92.850000,-55.500000,0.000000,top
"R1","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",86.325000,-69.500000,180.000000,top
"R2","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",92.325000,-77.500000,180.000000,top
"R3","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",130.500000,-77.500000,0.000000,top
"R4","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",125.375000,-79.000000,0.000000,top
"R5","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",83.087500,-68.000000,0.000000,top
"R6","5k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",84.587500,-65.500000,0.000000,top
"R7","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.412500,-67.000000,180.000000,top
"R8","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",133.087500,-66.500000,180.000000,top
"R9","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",87.000000,-68.000000,0.000000,top
"R10","5k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.412500,-65.500000,180.000000,top
"R11","330R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",93.800000,-58.600000,90.000000,top
